month,day,data,median,LB,UB
6,2,23,23,23,23
6,9,46,54.700149306409,-0,1028.55394392688
6,16,81,103.664090990378,-0,1018.17097576044
6,23,225,226.963737798591,-0,1158.52703417301
6,30,245,450.754234118023,-0,1453.27260078365
7,7,560,770.858974003045,-0,1842.41141036361
7,14,1065,1216.04471830902,139.033924110691,2256.81181254432
7,21,2370,1772.82608593302,709.903781889197,2804.95653984898
7,28,2029,2497.80008200728,1373.75997796713,3638.11357830426
8,4,3699,3640.85457645731,2260.91568612139,5038.25907731764
8,11,NaN,4669.96362869812,2244.22824181283,7639.72725675088
8,18,NaN,3907.36072455479,1556.60538720267,13967.7894134904
8,25,NaN,2237.03955765109,687.874932144486,13232.4782514697
9,1,NaN,1154.24683013015,-0,19041.929680399
