month,day,data,median,LB,UB
5,12,2,2,NaN,NaN
5,19,13,13,NaN,NaN
5,26,15,15,NaN,NaN
6,2,43,43,NaN,NaN
6,9,72,72,NaN,NaN
6,16,114,114,NaN,NaN
6,23,341,341,NaN,NaN
6,30,681,681,NaN,NaN
7,7,1115,1115,NaN,NaN
7,14,1621,1621,NaN,NaN
7,21,2069,2069,NaN,NaN
7,28,2345,2345,NaN,NaN
8,4,2605,2605,NaN,NaN
8,11,2021,2021,NaN,NaN
8,18,2176.307692,2176.307692,1614.203145,2738.41224
8,25,2331.615385,2331.615385,1536.67951,3126.551259
9,1,2486.923077,2486.923077,1513.329442,3460.516712
9,8,2642.230769,2642.230769,1518.021674,3766.439864
