month,day,data,median,LB,UB
6,23,308,308,308,308
6,30,485,495.44671792972,84.2090294271663,876.118892463545
7,7,938,931.501412366464,495.891064291688,1354.6849734655
7,14,1532,1524.72307261587,1088.25217378716,1942.48486535196
7,21,2222,2183.21898466044,1725.6611493235,2609.08094408284
7,28,2627,2757.79005312364,2305.40927174549,3232.75582174713
8,4,3258,3017.32643400148,2570.57451729271,3455.36213896296
8,11,2696,2926.8217985514,2482.22116692835,3362.61946755462
8,18,2698,2546.96872060902,2094.97023433692,2984.43053987923
8,25,1969,2029.22020377528,1531.70766341093,2501.44474098871
9,1,NaN,1512.93013342288,1017.34163139108,2080.60862686169
9,8,NaN,1082.66584305338,582.203923941872,1670.4466100047
9,15,NaN,755.790335274182,273.722092747554,1362.46329809355
9,22,NaN,520.538454940386,65.5644992654906,1118.5103135043
