epi_date,Cases,AsOf
5/17/2022,1,Data as of 9/14/2022
5/18/2022,0,Data as of 9/14/2022
5/19/2022,1,Data as of 9/14/2022
5/20/2022,4,Data as of 9/14/2022
5/21/2022,0,Data as of 9/14/2022
5/22/2022,1,Data as of 9/14/2022
5/23/2022,3,Data as of 9/14/2022
5/24/2022,1,Data as of 9/14/2022
5/25/2022,2,Data as of 9/14/2022
5/26/2022,2,Data as of 9/14/2022
5/27/2022,4,Data as of 9/14/2022
5/28/2022,0,Data as of 9/14/2022
5/29/2022,3,Data as of 9/14/2022
5/30/2022,3,Data as of 9/14/2022
5/31/2022,6,Data as of 9/14/2022
6/1/2022,5,Data as of 9/14/2022
6/2/2022,9,Data as of 9/14/2022
6/3/2022,6,Data as of 9/14/2022
6/4/2022,1,Data as of 9/14/2022
6/5/2022,3,Data as of 9/14/2022
6/6/2022,12,Data as of 9/14/2022
6/7/2022,7,Data as of 9/14/2022
6/8/2022,8,Data as of 9/14/2022
6/9/2022,4,Data as of 9/14/2022
6/10/2022,13,Data as of 9/14/2022
6/11/2022,12,Data as of 9/14/2022
6/12/2022,9,Data as of 9/14/2022
6/13/2022,13,Data as of 9/14/2022
6/14/2022,19,Data as of 9/14/2022
6/15/2022,18,Data as of 9/14/2022
6/16/2022,15,Data as of 9/14/2022
6/17/2022,20,Data as of 9/14/2022
6/18/2022,16,Data as of 9/14/2022
6/19/2022,15,Data as of 9/14/2022
6/20/2022,13,Data as of 9/14/2022
6/21/2022,17,Data as of 9/14/2022
6/22/2022,22,Data as of 9/14/2022
6/23/2022,34,Data as of 9/14/2022
6/24/2022,36,Data as of 9/14/2022
6/25/2022,28,Data as of 9/14/2022
6/26/2022,19,Data as of 9/14/2022
6/27/2022,58,Data as of 9/14/2022
6/28/2022,59,Data as of 9/14/2022
6/29/2022,62,Data as of 9/14/2022
6/30/2022,69,Data as of 9/14/2022
7/1/2022,60,Data as of 9/14/2022
7/2/2022,46,Data as of 9/14/2022
7/3/2022,47,Data as of 9/14/2022
7/4/2022,43,Data as of 9/14/2022
7/5/2022,90,Data as of 9/14/2022
7/6/2022,84,Data as of 9/14/2022
7/7/2022,83,Data as of 9/14/2022
7/8/2022,122,Data as of 9/14/2022
7/9/2022,70,Data as of 9/14/2022
7/10/2022,55,Data as of 9/14/2022
7/11/2022,186,Data as of 9/14/2022
7/12/2022,180,Data as of 9/14/2022
7/13/2022,182,Data as of 9/14/2022
7/14/2022,201,Data as of 9/14/2022
7/15/2022,233,Data as of 9/14/2022
7/16/2022,126,Data as of 9/14/2022
7/17/2022,69,Data as of 9/14/2022
7/18/2022,286,Data as of 9/14/2022
7/19/2022,265,Data as of 9/14/2022
7/20/2022,288,Data as of 9/14/2022
7/21/2022,241,Data as of 9/14/2022
7/22/2022,346,Data as of 9/14/2022
7/23/2022,167,Data as of 9/14/2022
7/24/2022,86,Data as of 9/14/2022
7/25/2022,520,Data as of 9/14/2022
7/26/2022,365,Data as of 9/14/2022
7/27/2022,466,Data as of 9/14/2022
7/28/2022,329,Data as of 9/14/2022
7/29/2022,403,Data as of 9/14/2022
7/30/2022,205,Data as of 9/14/2022
7/31/2022,137,Data as of 9/14/2022
8/1/2022,607,Data as of 9/14/2022
8/2/2022,437,Data as of 9/14/2022
8/3/2022,510,Data as of 9/14/2022
8/4/2022,534,Data as of 9/14/2022
8/5/2022,454,Data as of 9/14/2022
8/6/2022,164,Data as of 9/14/2022
8/7/2022,146,Data as of 9/14/2022
8/8/2022,783,Data as of 9/14/2022
8/9/2022,498,Data as of 9/14/2022
8/10/2022,649,Data as of 9/14/2022
8/11/2022,399,Data as of 9/14/2022
8/12/2022,490,Data as of 9/14/2022
8/13/2022,210,Data as of 9/14/2022
8/14/2022,151,Data as of 9/14/2022
8/15/2022,789,Data as of 9/14/2022
8/16/2022,390,Data as of 9/14/2022
8/17/2022,484,Data as of 9/14/2022
8/18/2022,419,Data as of 9/14/2022
8/19/2022,416,Data as of 9/14/2022
8/20/2022,152,Data as of 9/14/2022
8/21/2022,99,Data as of 9/14/2022
8/22/2022,923,Data as of 9/14/2022
8/23/2022,636,Data as of 9/14/2022
8/24/2022,349,Data as of 9/14/2022
8/25/2022,466,Data as of 9/14/2022
8/26/2022,331,Data as of 9/14/2022
8/27/2022,90,Data as of 9/14/2022
8/28/2022,47,Data as of 9/14/2022
8/29/2022,560,Data as of 9/14/2022
8/30/2022,412,Data as of 9/14/2022
8/31/2022,252,Data as of 9/14/2022
9/1/2022,576,Data as of 9/14/2022
9/2/2022,375,Data as of 9/14/2022
9/3/2022,49,Data as of 9/14/2022
9/4/2022,25,Data as of 9/14/2022
9/5/2022,29,Data as of 9/14/2022
9/6/2022,742,Data as of 9/14/2022
9/7/2022,273,Data as of 9/14/2022
9/8/2022,291,Data as of 9/14/2022
9/9/2022,248,Data as of 9/14/2022
9/10/2022,29,Data as of 9/14/2022
9/11/2022,26,Data as of 9/14/2022
9/12/2022,301,Data as of 9/14/2022
9/13/2022,218,Data as of 9/14/2022
9/14/2022,78,Data as of 9/14/2022
