epi_date,Cases,7-Day Average,Cumulative Cases,AsOf
5/17/2022,1,0,1,Data as of 09/21/2022
5/18/2022,0,0,1,Data as of 09/21/2022
5/19/2022,1,0,2,Data as of 09/21/2022
5/20/2022,4,0,6,Data as of 09/21/2022
5/21/2022,0,0,6,Data as of 09/21/2022
5/22/2022,1,0,7,Data as of 09/21/2022
5/23/2022,3,1.428571429,10,Data as of 09/21/2022
5/24/2022,1,1.428571429,11,Data as of 09/21/2022
5/25/2022,2,1.714285714,13,Data as of 09/21/2022
5/26/2022,2,1.857142857,15,Data as of 09/21/2022
5/27/2022,4,1.857142857,19,Data as of 09/21/2022
5/28/2022,0,1.857142857,19,Data as of 09/21/2022
5/29/2022,3,2.142857143,22,Data as of 09/21/2022
5/30/2022,3,2.142857143,25,Data as of 09/21/2022
5/31/2022,5,2.714285714,30,Data as of 09/21/2022
6/1/2022,5,3.142857143,35,Data as of 09/21/2022
6/2/2022,9,4.142857143,44,Data as of 09/21/2022
6/3/2022,6,4.428571429,50,Data as of 09/21/2022
6/4/2022,1,4.571428571,51,Data as of 09/21/2022
6/5/2022,3,4.571428571,54,Data as of 09/21/2022
6/6/2022,12,5.857142857,66,Data as of 09/21/2022
6/7/2022,9,6.428571429,75,Data as of 09/21/2022
6/8/2022,8,6.857142857,83,Data as of 09/21/2022
6/9/2022,4,6.142857143,87,Data as of 09/21/2022
6/10/2022,12,7,99,Data as of 09/21/2022
6/11/2022,12,8.571428571,111,Data as of 09/21/2022
6/12/2022,9,9.428571429,120,Data as of 09/21/2022
6/13/2022,13,9.571428571,133,Data as of 09/21/2022
6/14/2022,17,10.71428571,150,Data as of 09/21/2022
6/15/2022,19,12.28571429,169,Data as of 09/21/2022
6/16/2022,17,14.14285714,186,Data as of 09/21/2022
6/17/2022,20,15.28571429,206,Data as of 09/21/2022
6/18/2022,15,15.71428571,221,Data as of 09/21/2022
6/19/2022,15,16.57142857,236,Data as of 09/21/2022
6/20/2022,12,16.42857143,248,Data as of 09/21/2022
6/21/2022,18,16.57142857,266,Data as of 09/21/2022
6/22/2022,22,17,288,Data as of 09/21/2022
6/23/2022,33,19.28571429,321,Data as of 09/21/2022
6/24/2022,40,22.14285714,361,Data as of 09/21/2022
6/25/2022,28,24,389,Data as of 09/21/2022
6/26/2022,19,24.57142857,408,Data as of 09/21/2022
6/27/2022,58,31.14285714,466,Data as of 09/21/2022
6/28/2022,59,37,525,Data as of 09/21/2022
6/29/2022,65,43.14285714,590,Data as of 09/21/2022
6/30/2022,72,48.71428571,662,Data as of 09/21/2022
7/1/2022,58,51.28571429,720,Data as of 09/21/2022
7/2/2022,47,54,767,Data as of 09/21/2022
7/3/2022,44,57.57142857,811,Data as of 09/21/2022
7/4/2022,41,55.14285714,852,Data as of 09/21/2022
7/5/2022,90,59.57142857,942,Data as of 09/21/2022
7/6/2022,84,62.28571429,1026,Data as of 09/21/2022
7/7/2022,89,64.71428571,1115,Data as of 09/21/2022
7/8/2022,124,74.14285714,1239,Data as of 09/21/2022
7/9/2022,78,78.57142857,1317,Data as of 09/21/2022
7/10/2022,58,80.57142857,1375,Data as of 09/21/2022
7/11/2022,184,101,1559,Data as of 09/21/2022
7/12/2022,176,113.2857143,1735,Data as of 09/21/2022
7/13/2022,175,126.2857143,1910,Data as of 09/21/2022
7/14/2022,199,142,2109,Data as of 09/21/2022
7/15/2022,222,156,2331,Data as of 09/21/2022
7/16/2022,132,163.7142857,2463,Data as of 09/21/2022
7/17/2022,62,164.2857143,2525,Data as of 09/21/2022
7/18/2022,275,177.2857143,2800,Data as of 09/21/2022
7/19/2022,282,192.4285714,3082,Data as of 09/21/2022
7/20/2022,298,210,3380,Data as of 09/21/2022
7/21/2022,250,217.2857143,3630,Data as of 09/21/2022
7/22/2022,351,235.7142857,3981,Data as of 09/21/2022
7/23/2022,166,240.5714286,4147,Data as of 09/21/2022
7/24/2022,85,243.8571429,4232,Data as of 09/21/2022
7/25/2022,509,277.2857143,4741,Data as of 09/21/2022
7/26/2022,362,288.7142857,5103,Data as of 09/21/2022
7/27/2022,472,313.5714286,5575,Data as of 09/21/2022
7/28/2022,346,327.2857143,5921,Data as of 09/21/2022
7/29/2022,395,333.5714286,6316,Data as of 09/21/2022
7/30/2022,211,340,6527,Data as of 09/21/2022
7/31/2022,140,347.8571429,6667,Data as of 09/21/2022
8/1/2022,611,362.4285714,7278,Data as of 09/21/2022
8/2/2022,442,373.8571429,7720,Data as of 09/21/2022
8/3/2022,531,382.2857143,8251,Data as of 09/21/2022
8/4/2022,531,408.7142857,8782,Data as of 09/21/2022
8/5/2022,439,415,9221,Data as of 09/21/2022
8/6/2022,151,406.4285714,9372,Data as of 09/21/2022
8/7/2022,136,405.8571429,9508,Data as of 09/21/2022
8/8/2022,792,431.7142857,10300,Data as of 09/21/2022
