month,day,data,median,LB,UB
7,14,1470,1470,NaN,NaN
7,21,2195,2195,NaN,NaN
7,28,2676,2676,NaN,NaN
8,4,3190,3190,NaN,NaN
8,11,2873,2873,NaN,NaN
8,18,3013,3013,NaN,NaN
8,25,2264,2264,NaN,NaN
9,1,2078,2078,NaN,NaN
9,8,1332,1332,NaN,NaN
9,15,1380,1380,NaN,NaN
9,22,1323.8295494508,1323.8295494508,300.860353125192,2346.7987457764
9,29,1269.94541739065,1269.94541739065,0,2687.50550717053
10,6,1218.2545432836,1218.2545432836,0,2919.9264955262
10,13,1168.66765445762,1168.66765445762,0,3095.12118691447
