month,day,data,median,LB,UB
7,14,1470,1470,NaN,NaN
7,21,2195,2195,NaN,NaN
7,28,2676,2676,NaN,NaN
8,4,3190,3190,NaN,NaN
8,11,2873,2873,NaN,NaN
8,18,3013,3013,NaN,NaN
8,25,2264,2264,NaN,NaN
9,1,2078,2078,NaN,NaN
9,8,1332,1332,NaN,NaN
9,15,1380,1380,NaN,NaN
9,22,1491.16045139116,1491.16045139116,912.727707379034,2436.16959780721
9,29,1578.73787397987,1578.73787397987,858.075933617222,2904.65351269287
10,6,1646.52755183159,1646.52755183159,846.473133156156,3202.76317433977
10,13,1698.32161081679,1698.32161081679,848.705854917739,3398.46399910475
