month,day,data,median,LB,UB
5,12,1,1,NaN,NaN
5,19,12,12,NaN,NaN
5,26,22,22,NaN,NaN
6,2,48,48,NaN,NaN
6,9,86,86,NaN,NaN
6,16,119,119,NaN,NaN
6,23,302,302,NaN,NaN
6,30,436,436,NaN,NaN
7,7,884,884,NaN,NaN
7,14,1470,1470,NaN,NaN
7,21,2195,2195,NaN,NaN
7,28,2676,2676,NaN,NaN
8,4,3190,3190,NaN,NaN
8,11,2873,2873,NaN,NaN
8,18,3013,3013,NaN,NaN
8,25,2264,2264,NaN,NaN
9,1,2078,2078,NaN,NaN
9,8,1332,1332,NaN,NaN
9,15,1380,1380,NaN,NaN
9,22,1380,1380,594.021179452343,2165.97882054766
9,29,1380,1380,268.458092243494,2491.54190775651
10,6,1380,1380,18.6447491383963,2741.3552508616
10,13,1380,1380,0,2951.95764109532
