month,day,data,median,LB,UB
5,12,1,1,NaN,NaN
5,19,12,12,NaN,NaN
5,26,22,22,NaN,NaN
6,2,48,48,NaN,NaN
6,9,86,86,NaN,NaN
6,16,119,119,NaN,NaN
6,23,302,302,NaN,NaN
6,30,436,436,NaN,NaN
7,7,884,884,NaN,NaN
7,14,1470,1470,NaN,NaN
7,21,2195,2195,NaN,NaN
7,28,2676,2676,NaN,NaN
8,4,3190,3190,NaN,NaN
8,11,2873,2873,NaN,NaN
8,18,3013,3013,NaN,NaN
8,25,2264,2264,NaN,NaN
9,1,2078,2078,NaN,NaN
9,8,1332,1332,NaN,NaN
9,15,1380,1380,NaN,NaN
9,22,1001.61634500676,1001.61634500676,383.212040960826,2617.96393471691
9,29,946.407835240093,946.407835240093,201.958512056241,4435.0088613963
10,6,735.43989071806,735.43989071806,59.4172103026428,9102.94896216853
10,13,660.617451133014,660.617451133014,20.8216648441508,20959.6792575439
