month,day,data,median,LB,UB
7,21,2284,2284,2284,2284
7,28,2746,2746.90417920358,2387.91428084433,3112.06915044681
8,4,3065,2971.78071808199,2654.46293840627,3296.68852905682
8,11,2648,2862.22171045051,2541.55230903405,3185.10105772105
8,18,2795,2567.41386734437,2249.14489346244,2882.22442201284
8,25,2130,2193.35503452827,1894.10890791825,2496.64661086699
9,1,1894,1823.74063970522,1512.88462033441,2133.43301435019
9,8,1328,1471.36361093989,1164.419762494,1777.95819224054
9,15,1160,1175.06560006954,849.118127676942,1486.64644710732
9,22,1009,921.641526815886,597.55111862053,1240.15615894295
9,29,NaN,715.978587924165,407.413577912833,1032.77187690428
10,6,NaN,554.297673320142,228.824818277089,880.493556622759
10,13,NaN,422.973039190573,105.954229780333,745.413754172796
10,20,NaN,321.875555969211,18.1226188244943,640.360416903474
