epi_date_V2,Cases,7-Day Average,Cumulative Cases,AsOf
5/10/2022,1,0,1,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/11/2022,0,0,1,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/12/2022,2,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/13/2022,0,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/14/2022,0,0,3,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/15/2022,1,0,4,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/16/2022,4,1.142857143,8,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/17/2022,3,1.428571429,11,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/18/2022,1,1.571428571,12,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/19/2022,2,1.571428571,14,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/20/2022,2,1.857142857,16,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/21/2022,1,2,17,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/22/2022,1,2,18,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/23/2022,3,1.857142857,21,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/24/2022,4,2,25,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/25/2022,4,2.428571429,29,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/26/2022,2,2.428571429,31,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/27/2022,4,2.714285714,35,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/28/2022,0,2.571428571,35,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/29/2022,4,3,39,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/30/2022,5,3.285714286,44,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
5/31/2022,6,3.571428571,50,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/1/2022,6,3.857142857,56,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/2/2022,9,4.857142857,65,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/3/2022,6,5.142857143,71,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/4/2022,3,5.571428571,74,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/5/2022,5,5.714285714,79,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/6/2022,12,6.714285714,91,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/7/2022,17,8.285714286,108,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/8/2022,6,8.285714286,114,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/9/2022,4,7.571428571,118,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/10/2022,20,9.571428571,138,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
6/11/2022,13,11,151,Data as Reported to CDC as of 19 Oct 2022 2:00 PM EDT
