month,day,data,median,LB,UB
8,18,2521,2521,2521,2521
8,25,2080,2086.17575408293,1929.09652308127,2254.12770853898
9,1,1783,1753.13650789584,1610.22189439043,1893.49954375483
9,8,1324,1416.89672378256,1279.55694741048,1554.65261434588
9,15,1211,1117.76918834597,984.290469252804,1250.98391051046
9,22,891,873.514130975314,738.057727775327,1005.89736304498
9,29,665,670.387993801187,541.735194877659,804.628317553632
10,6,532,514.418768089653,383.976743816917,651.998100545325
10,13,407,392.325566837246,264.627873198448,530.475460061492
10,20,209,301.361253976265,173.280991953668,434.856485883373
10,27,NaN,231.453740395273,102.836760858389,362.920369633273
11,3,NaN,176.583153021077,51.3258353580928,304.914041686698
11,10,NaN,136.204990566296,7.33041403036926,266.320947801899
11,17,NaN,102.406308224785,-0,226.628869820112
