month,day,data,median,LB,UB
9,1,1784,1784,1784,1784
9,8,1328,1350.19647323437,1253.71101017222,1446.79913320155
9,15,1204,1148.32101166023,1063.52906064683,1230.55712369657
9,22,912,929.43965556728,845.787236149946,1012.52052753046
9,29,671,732.800245519546,653.135701594115,811.507128732661
10,6,587,563.844870027672,486.496828325469,642.518725611751
10,13,458,429.453950886826,353.466785838152,505.612665057726
10,20,329,324.274955616447,244.324423643734,402.230075697405
10,27,250,243.805051479833,170.185052479973,323.054120393858
11,3,161,182.515760637162,106.966473774496,259.822549080599
11,10,NaN,136.205561005077,60.3637061430667,214.756155237269
11,17,NaN,104.193784178814,28.6554263845891,180.600506560809
11,24,NaN,76.025195584614,2.85210404381842,153.926967987066
12,1,NaN,58.0280135374742,-0,131.459697593043
