month,day,data,median,LB,UB
9,8,1270,1270,1270,1270
9,15,1118,1041.5308436027,916.971873978435,1167.77160721973
9,22,813,882.811649036402,776.163472235468,991.853344851452
9,29,652,698.513311297705,596.942126478255,800.431218993885
10,6,540,527.420406642666,427.490429120823,629.955369788414
10,13,400,388.665735408411,285.726248796183,490.342465770017
10,20,305,281.02745939928,177.785867091044,385.39642593809
10,27,241,200.782570652853,99.2254633023111,300.414560236563
11,3,145,141.897574001068,46.3188071044,240.543634218127
11,10,91,100.884611073856,5.76546946085735,198.553308240376
11,17,NaN,72.5945657577087,-0,170.49805659339
11,24,NaN,50.8547494359418,-0,147.414456608212
12,1,NaN,36.842144778521,-0,130.8688487123
12,8,NaN,25.6721345507666,-0,118.221261317692
