month,day,data,median,LB,UB
5,12,14,14,NaN,NaN
5,19,16,16,NaN,NaN
5,26,34,34,NaN,NaN
6,2,80,80,NaN,NaN
6,9,149,149,NaN,NaN
6,16,261,261,NaN,NaN
6,23,479,479,NaN,NaN
6,30,1012,1012,NaN,NaN
7,7,1664,1664,NaN,NaN
7,14,2205,2205,NaN,NaN
7,21,2679,2679,NaN,NaN
7,28,3132,3132,NaN,NaN
8,4,3027,3027,NaN,NaN
8,11,2664,2664,NaN,NaN
8,18,2446,2446,NaN,NaN
8,25,1925,1925,NaN,NaN
9,1,1727,1727,NaN,NaN
9,8,1330,1330,NaN,NaN
9,15,1082,1082,NaN,NaN
9,22,804,804,NaN,NaN
9,29,669,669,NaN,NaN
10,6,546,546,NaN,NaN
10,13,404,404,NaN,NaN
10,20,329,329,NaN,NaN
10,27,277,277,NaN,NaN
11,3,232,232,NaN,NaN
11,10,174,174,NaN,NaN
11,17,133,133,NaN,NaN
11,24,102,102,NaN,NaN
12,1,84,84,NaN,NaN
12,8,34,34,NaN,NaN
12,15,37,37,NaN,NaN
12,22,98.0385217474439,98.0385217474439,0,385.503353459177
12,29,203.107501341941,203.107501341941,0,785.588524108675
1,5,337.400614036508,337.400614036508,0,1212.59927645574
1,12,486.49926554379,486.49926554379,0,1625.50617129896
