month,day,data,median,LB,UB
9,15,1107,1107,1107,1107
9,22,804,781.984757035011,738.616493293556,826.320258814412
9,29,665,678.118136525825,637.349533056041,716.643426743317
10,6,545,549.199920707513,511.162547202505,586.083524911775
10,13,408,428.870580168522,389.660358525343,466.592169844176
10,20,311,324.316816250353,286.107058734811,360.975842541786
10,27,264,240.407858964024,202.658676653027,278.37506568339
11,3,203,176.92205819883,140.084140230452,214.129293850229
11,10,132,129.329887477169,92.6554191782402,167.784157739545
11,17,82,94.1403625050723,57.5637438916987,129.960336374107
11,24,NaN,67.9437603434668,31.5574968598299,104.781887882522
12,1,NaN,50.2180902996667,13.7476988262998,86.3051770111853
12,8,NaN,35.9517241387901,0.963401960640724,71.7095043454556
12,15,NaN,26.027959846434,-0,61.1331215828438
