month,day,data,median,LB,UB
9,15,1107,1107,1107,1107
9,22,804,781.984757035011,738.563358933859,826.321790997892
9,29,665,678.118136525825,637.322480243312,716.65923914354
10,6,545,549.199920707513,511.140930739198,586.108106571148
10,13,408,428.870580168522,389.653920403906,466.605605296535
10,20,311,324.316816250353,286.041884405743,360.979386780577
10,27,264,240.407858964024,202.652302877722,278.384700482697
11,3,203,176.92205819883,140.054913722762,214.149379496885
11,10,132,129.329887477169,92.6302753501655,167.788686330129
11,17,82,94.1403625050723,57.5364360349198,129.985505376352
11,24,NaN,67.9437603434668,31.5492296693901,104.899936277269
12,1,NaN,50.2180902996667,13.742509150463,86.352414328704
12,8,NaN,35.9517241387901,0.951917715548712,71.7365959943777
12,15,NaN,26.027959846434,-0,61.1832589451054
