year,month,day,data,median,LB,UB
2022,9,29,661,661,661,661
2022,10,6,551,539.407894541306,482.398608095739,595.839423845632
2022,10,13,411,429.104327721472,379.076962315483,478.916675458306
2022,10,20,312,331.394224316636,282.964276705728,381.036154398336
2022,10,27,270,252.147712630651,202.868255380165,300.136495190219
2022,11,3,223,189.701683978905,141.181706526808,238.758952968848
2022,11,10,154,142.152418902402,94.4279808062141,190.422686089073
2022,11,17,99,106.926592545404,59.0145220571186,156.409736607503
2022,11,24,51,80.5063620736743,33.1136932850229,127.941001068232
2022,12,1,42,59.9413294951639,14.3819159206439,107.33801583281
2022,12,8,NaN,45.0393195984048,-0,91.7185227717098
2022,12,15,NaN,33.9717940333452,-0,81.1489827494603
2022,12,22,NaN,25.8454503807578,-0,70.6288872513412
2022,12,29,NaN,19.6210615748203,-0,64.3701239757507
